epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,155.107,1.15608,0.57082,1.18503,0.95305,0.98148,0.9941,0.68192,1.2224,0.56487,1.29283,0.005743,0.005743,0.005743
45,158.565,1.12899,0.54749,1.15962,0.98609,0.96296,0.99378,0.66362,1.25167,0.61284,1.28997,0.005644,0.005644,0.005644
46,162.039,1.12676,0.54948,1.16789,1,0.93732,0.99255,0.61069,1.28256,0.6677,1.31192,0.005545,0.005545,0.005545
47,165.479,1.10784,0.53007,1.16444,0.98175,0.99628,0.99409,0.6305,1.27821,0.52755,1.30629,0.005446,0.005446,0.005446
48,168.997,1.14726,0.54912,1.18779,0.99533,0.98148,0.99482,0.65643,1.27217,0.58115,1.31061,0.005347,0.005347,0.005347
49,172.476,1.12699,0.55681,1.18196,0.99993,1,0.995,0.67362,1.22877,0.51703,1.27954,0.005248,0.005248,0.005248
50,175.948,1.12605,0.53803,1.14952,0.97839,0.98148,0.99183,0.61316,1.39224,0.55138,1.35753,0.005149,0.005149,0.005149
51,179.416,1.14107,0.54089,1.15212,0.99094,1,0.995,0.68683,1.22867,0.51575,1.26043,0.00505,0.00505,0.00505
52,182.921,1.14244,0.54679,1.16871,0.99995,1,0.995,0.65045,1.17197,0.50342,1.25781,0.004951,0.004951,0.004951
53,186.434,1.12167,0.53533,1.15046,0.99742,1,0.995,0.63728,1.26075,0.52439,1.30236,0.004852,0.004852,0.004852
54,189.913,1.12448,0.52411,1.16067,1,0.99877,0.995,0.66425,1.19096,0.48646,1.25456,0.004753,0.004753,0.004753
55,193.411,1.09134,0.51264,1.1462,1,0.99866,0.995,0.68875,1.11415,0.49427,1.21886,0.004654,0.004654,0.004654
56,196.927,1.0846,0.50718,1.13495,0.99863,0.98148,0.99482,0.70517,1.2147,0.4853,1.25599,0.004555,0.004555,0.004555
57,200.413,1.06413,0.49039,1.14186,0.9986,0.98148,0.99431,0.69657,1.16584,0.48896,1.23625,0.004456,0.004456,0.004456
58,203.93,1.09389,0.52552,1.14889,0.97925,1,0.99482,0.69272,1.18374,0.49481,1.25313,0.004357,0.004357,0.004357
59,207.434,1.09395,0.51463,1.14825,0.99875,1,0.995,0.70043,1.15879,0.48945,1.26075,0.004258,0.004258,0.004258
60,210.928,1.07684,0.50355,1.13959,1,0.99699,0.995,0.69112,1.19233,0.46839,1.26307,0.004159,0.004159,0.004159
61,214.389,1.07261,0.50972,1.14961,1,0.99906,0.995,0.69777,1.21188,0.48846,1.28378,0.00406,0.00406,0.00406
62,217.912,1.08898,0.50398,1.15244,0.99888,0.98148,0.99482,0.71025,1.13751,0.4504,1.22305,0.003961,0.003961,0.003961
63,221.409,1.0483,0.51039,1.135,1,0.9792,0.99482,0.66209,1.26252,0.50664,1.27335,0.003862,0.003862,0.003862
64,224.968,1.08666,0.50492,1.14073,0.99777,0.98148,0.99482,0.70958,1.17267,0.46776,1.22593,0.003763,0.003763,0.003763
65,228.45,1.06824,0.49414,1.12466,0.96414,0.99591,0.9939,0.69877,1.15593,0.47031,1.23252,0.003664,0.003664,0.003664
66,231.961,1.0785,0.49136,1.14262,0.96256,0.98148,0.99305,0.67471,1.19401,0.50448,1.25859,0.003565,0.003565,0.003565
67,235.44,1.05922,0.48724,1.13254,0.99797,1,0.995,0.70825,1.15289,0.47453,1.22545,0.003466,0.003466,0.003466
68,238.93,1.0505,0.48883,1.13099,0.99895,1,0.995,0.69777,1.11923,0.46225,1.22221,0.003367,0.003367,0.003367
69,242.392,1.03945,0.49981,1.12956,1,0.99879,0.995,0.7097,1.12497,0.45838,1.21257,0.003268,0.003268,0.003268
70,245.859,1.04859,0.47788,1.13788,0.97985,0.98148,0.9939,0.74031,1.08416,0.44424,1.20039,0.003169,0.003169,0.003169
71,249.378,1.05251,0.47669,1.13862,0.99747,0.98148,0.99464,0.68074,1.16447,0.47358,1.22281,0.00307,0.00307,0.00307
72,252.807,1.04094,0.48206,1.11445,0.99898,0.98148,0.99464,0.65477,1.14959,0.46097,1.22723,0.002971,0.002971,0.002971
73,256.348,1.02396,0.47132,1.1267,0.99832,0.98148,0.99482,0.69958,1.15594,0.47455,1.22288,0.002872,0.002872,0.002872
74,259.839,1.01784,0.46669,1.11263,0.99135,0.98148,0.99464,0.69355,1.23606,0.47508,1.25982,0.002773,0.002773,0.002773
75,263.347,1.00575,0.46807,1.13335,1,0.99731,0.995,0.69884,1.18699,0.46245,1.24916,0.002674,0.002674,0.002674
76,266.846,0.98003,0.45689,1.10452,0.98179,0.99836,0.99482,0.69796,1.17963,0.47899,1.24991,0.002575,0.002575,0.002575
77,270.289,1.00042,0.46643,1.09581,1,0.99855,0.995,0.69381,1.14256,0.47335,1.24198,0.002476,0.002476,0.002476
78,273.811,0.9779,0.44794,1.09025,0.99844,0.98148,0.99482,0.68348,1.1435,0.45375,1.24291,0.002377,0.002377,0.002377
79,277.345,0.98536,0.4627,1.10264,0.99795,0.98148,0.99482,0.70106,1.14911,0.44822,1.23953,0.002278,0.002278,0.002278
80,280.816,0.99376,0.45725,1.11231,0.98095,1,0.99482,0.69901,1.16013,0.45605,1.22918,0.002179,0.002179,0.002179
81,284.273,1.00997,0.45544,1.10573,0.98006,1,0.99482,0.70039,1.15396,0.4426,1.23409,0.00208,0.00208,0.00208
82,287.773,0.97965,0.44651,1.09358,0.99835,0.98148,0.99482,0.72231,1.13664,0.43281,1.22448,0.001981,0.001981,0.001981
83,291.231,0.98029,0.44609,1.09268,0.99862,0.98148,0.99482,0.69992,1.12932,0.45512,1.21664,0.001882,0.001882,0.001882
