epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1580.49,1.24713,0.90449,1.23809,0.90223,0.81669,0.88109,0.57863,1.2934,0.70735,1.26122,0.005743,0.005743,0.005743
45,1616.38,1.23221,0.89706,1.24734,0.90456,0.81129,0.9007,0.59597,1.28534,0.66309,1.25054,0.005644,0.005644,0.005644
46,1652.26,1.2182,0.89175,1.23798,0.89719,0.7978,0.86477,0.57154,1.29416,0.71899,1.26221,0.005545,0.005545,0.005545
47,1688.33,1.2269,0.8793,1.23124,0.90369,0.79932,0.87781,0.58658,1.30509,0.69168,1.27253,0.005446,0.005446,0.005446
48,1724.18,1.2224,0.88754,1.23216,0.89861,0.8331,0.89554,0.59096,1.27273,0.66018,1.24421,0.005347,0.005347,0.005347
49,1760.06,1.22517,0.87904,1.23087,0.90851,0.82975,0.90011,0.59514,1.28462,0.6596,1.23571,0.005248,0.005248,0.005248
50,1796.03,1.21199,0.86104,1.22247,0.92585,0.8027,0.89341,0.60101,1.29328,0.65234,1.25457,0.005149,0.005149,0.005149
51,1832.25,1.20016,0.85411,1.21648,0.89901,0.83079,0.89975,0.58646,1.29177,0.66275,1.25915,0.00505,0.00505,0.00505
52,1868.27,1.21139,0.83612,1.2245,0.91716,0.82345,0.88609,0.58694,1.29435,0.65746,1.24023,0.004951,0.004951,0.004951
53,1904.43,1.18201,0.83785,1.20742,0.94386,0.80773,0.905,0.60965,1.26436,0.64212,1.22562,0.004852,0.004852,0.004852
54,1940.71,1.18379,0.82009,1.20604,0.94002,0.79637,0.90747,0.60141,1.23737,0.64892,1.21778,0.004753,0.004753,0.004753
55,1976.87,1.18358,0.8261,1.20032,0.95006,0.81793,0.90443,0.61217,1.24434,0.61933,1.21334,0.004654,0.004654,0.004654
56,2013.23,1.15994,0.81041,1.18888,0.92434,0.82813,0.91116,0.61713,1.20918,0.62428,1.20837,0.004555,0.004555,0.004555
57,2049.38,1.15404,0.79994,1.18482,0.91033,0.85133,0.90695,0.62034,1.2303,0.60434,1.22267,0.004456,0.004456,0.004456
58,2085.59,1.16278,0.81677,1.19315,0.91982,0.84593,0.91507,0.61151,1.22942,0.61879,1.20444,0.004357,0.004357,0.004357
59,2121.93,1.15492,0.8123,1.19496,0.9179,0.8364,0.90954,0.61536,1.23321,0.60693,1.21758,0.004258,0.004258,0.004258
60,2158.27,1.16196,0.80822,1.19669,0.93425,0.83992,0.91258,0.6171,1.211,0.60378,1.22087,0.004159,0.004159,0.004159
61,2194.47,1.1446,0.77621,1.18258,0.93946,0.85339,0.91407,0.61695,1.2184,0.59549,1.21211,0.00406,0.00406,0.00406
62,2230.76,1.14416,0.78486,1.18822,0.91433,0.86804,0.92287,0.63567,1.19737,0.5758,1.20146,0.003961,0.003961,0.003961
63,2267.03,1.14881,0.79286,1.18092,0.92737,0.81945,0.90286,0.62636,1.1999,0.6109,1.19284,0.003862,0.003862,0.003862
64,2303.5,1.14545,0.78246,1.18027,0.90372,0.85413,0.90473,0.60469,1.23382,0.5909,1.20471,0.003763,0.003763,0.003763
65,2339.87,1.13746,0.77246,1.17368,0.93604,0.83372,0.91208,0.62514,1.21395,0.58967,1.21117,0.003664,0.003664,0.003664
66,2376.29,1.10828,0.75605,1.16186,0.91657,0.85888,0.91158,0.63458,1.17984,0.5843,1.17908,0.003565,0.003565,0.003565
